Country,Code,Continent_region,Year,Alochol_use,Smoking,Drug_use,Population,Total_Death_Rate,per/100k
Madagascar,MDG,Africa,2019,4171,5413,328,27533134,127057,461.4694426
Malawi,MWI,Africa,2019,4415,4746,280,18867337,72259,382.9846258
Malaysia,MYS,Asia,2019,3388,24588,1398,32804020,168244,512.8761658
Maldives,MDV,Asia,2019,13,205,16,504508,1377,272.9391803
Mali,MLI,Africa,2019,2071,3602,182,20567424,102732,499.4889005
Malta,MLT,Europe,2019,110,551,21,504062,3614,716.9752927
Marshall Islands,MHL,Oceania,2019,10,53,4,44728,493,1102.21785
Mauritania,MRT,Africa,2019,165,703,8,4383849,15573,355.2357757
Mauritius,MUS,Africa,2019,340,1041,119,1265985,13563,1071.339708
Mexico,MEX,North America,2019,49889,48393,4009,125085311,691863,553.1129071
Moldova,MDA,Europe,2019,3800,5921,473,2664224,49878,1872.13988
Monaco,MCO,Europe,2019,15,97,3,37034,385,1039.585246
Mongolia,MNG,Asia,2019,3340,3766,415,3232430,30623,947.3677698
Montenegro,MNE,Europe,2019,492,1761,22,622028,10287,1653.784074
Morocco,MAR,Africa,2019,1108,21382,1030,36304408,303235,835.2566994
Mozambique,MOZ,Africa,2019,4925,8058,829,30285595,131532,434.3054842
Myanmar,MMR,Asia,2019,20452,60039,5833,53040212,488029,920.1113299
Namibia,NAM,Africa,2019,1034,1150,155,2446644,13500,551.776229
Nauru,NRU,Oceania,2019,3,11,1,12132,78,642.9277943
Nepal,NPL,Asia,2019,6831,34201,898,28832496,205541,712.8796619
Netherlands,NLD,Europe,2019,7565,31530,658,17344874,114041,657.4910835
New Zealand,NZL,Oceania,2019,1352,4792,271,4979200,24383,489.6971401
Nicaragua,NIC,North America,2019,1706,1645,104,6663924,30201,453.2014471
Niger,NER,Africa,2019,1041,1982,73,23443393,118426,505.1572526
Nigeria,NGA,Africa,2019,45888,17350,12463,203304492,912981,449.0707466
North Macedonia,MKD,Europe,2019,972,5307,122,2076694,37970,1828.386849
Northern Mariana Islands,MNP,Oceania,2019,9,60,3,49858,413,828.3525212
Norway,NOR,Europe,2019,1263,4818,385,5347896,26992,504.721857
Oman,OMN,Asia,2019,67,812,72,4602768,14256,309.7266688
Pakistan,PAK,Asia,2019,18214,134289,8583,223293280,1375527,616.0180906
Palau,PLW,Oceania,2019,3,30,1,17916,237,1322.83992
Panama,PAN,North America,2019,866,1182,69,4232532,15185,358.7686992
Papua New Guinea,PNG,Oceania,2019,574,7155,299,9542486,66942,701.5153074
Paraguay,PRY,South America,2019,2133,4411,195,6530026,32784,502.0500684
Peru,PER,South America,2019,6740,4489,547,32824861,95593,291.2213398
Philippines,PHL,Asia,2019,39802,95587,1174,110380804,661704,599.4737998
Poland,POL,Europe,2019,26320,77669,1826,37965475,460603,1213.215428
Portugal,PRT,Europe,2019,7242,12134,600,10286263,85563,831.8181248
Puerto Rico,PRI,North America,2019,1380,2789,108,3193694,28480,891.7573193
Qatar,QAT,Asia,2019,75,418,39,2807235,4788,170.559287
Romania,ROU,Europe,2019,19601,38999,2263,19371648,324945,1677.425689
Rwanda,RWA,Africa,2019,5223,4959,82,12835028,51184,398.7837035
Samoa,WSM,Oceania,2019,26,234,9,211905,1861,878.2237323
San Marino,SMR,Europe,2019,16,42,1,34178,215,629.059629
Sao Tome and Principe,STP,Africa,2019,65,44,1,214599,883,411.4651047
Saudi Arabia,SAU,Asia,2019,722,12271,722,35827362,154143,430.2382073
Senegal,SEN,Africa,2019,1042,3108,88,16000781,67119,419.4732745
Serbia,SRB,Europe,2019,5066,24350,598,6945235,168706,2429.089872
Seychelles,SYC,Africa,2019,57,106,7,97625,740,758.0025608
Sierra Leone,SLE,Africa,2019,1904,2225,70,8046828,41403,514.5257237
Singapore,SGP,Asia,2019,307,2814,156,5703569,16423,287.9425146
Slovenia,SVN,Europe,2019,1115,2980,169,2088385,18849,902.5634641
Solomon Islands,SLB,Oceania,2019,59,1026,41,674993,8419,1247.272194
Somalia,SOM,Africa,2019,903,5257,145,15981300,109541,685.4323491
South Africa,ZAF,Africa,2019,27060,32836,5486,58087055,346018,595.6886608
South Sudan,SSD,Africa,2019,575,1919,103,10447666,39825,381.185616
Spain,ESP,Europe,2019,19330,66331,1724,47134837,319980,678.8609452
Sri Lanka,LKA,Asia,2019,7296,11071,204,21803000,147936,678.5121314
