Country,Code,Continent Region,Year,High.systolic.blood.pressure,Diet.high.in.sodium,High.fasting.plasma.glucose,Population,Total_Death_Rate,per/100k
Maldives,MDV,Asia,2019,338,66,240,504508,1377,272.9391803
Mali,MLI,Africa,2019,11212,1116,7433,20567424,102732,499.4889005
Malta,MLT,Europe,2019,847,78,700,504062,3614,716.9752927
Marshall Islands,MHL,Oceania,2019,83,14,104,44728,493,1102.21785
Mauritania,MRT,Africa,2019,2666,236,1394,4383849,15573,355.2357757
Mauritius,MUS,Africa,2019,2714,532,3604,1265985,13563,1071.339708
Mexico,MEX,North America,2019,129019,13030,157908,125085311,691863,553.1129071
Moldova,MDA,Europe,2019,14997,793,4426,2664224,49878,1872.13988
Monaco,MCO,Europe,2019,88,6,48,37034,385,1039.585246
Mongolia,MNG,Asia,2019,6318,833,1119,3232430,30623,947.3677698
Montenegro,MNE,Europe,2019,2295,703,1453,622028,10287,1653.784074
Morocco,MAR,Africa,2019,79904,2552,48117,36304408,303235,835.2566994
Mozambique,MOZ,Africa,2019,22250,3310,12143,30285595,131532,434.3054842
Myanmar,MMR,Asia,2019,85790,17774,68004,53040212,488029,920.1113299
Namibia,NAM,Africa,2019,2400,150,1804,2446644,13500,551.776229
Nauru,NRU,Oceania,2019,16,2,15,12132,78,642.9277943
Nepal,NPL,Asia,2019,23697,3144,15513,28832496,205541,712.8796619
Netherlands,NLD,Europe,2019,22941,1618,14101,17344874,114041,657.4910835
New Zealand,NZL,Oceania,2019,5970,430,3414,4979200,24383,489.6971401
Nicaragua,NIC,North America,2019,6547,961,5973,6663924,30201,453.2014471
Niger,NER,Africa,2019,10655,990,5728,23443393,118426,505.1572526
Nigeria,NGA,Africa,2019,114125,8034,57698,203304492,912981,449.0707466
North Macedonia,MKD,Europe,2019,8394,2615,5861,2076694,37970,1828.386849
Northern Mariana Islands,MNP,Oceania,2019,81,13,81,49858,413,828.3525212
Norway,NOR,Europe,2019,6766,454,4753,5347896,26992,504.721857
Oman,OMN,Asia,2019,2996,108,2367,4602768,14256,309.7266688
Pakistan,PAK,Asia,2019,220698,24191,145454,223293280,1375527,616.0180906
Palau,PLW,Oceania,2019,43,7,56,17916,237,1322.83992
Panama,PAN,North America,2019,3506,532,3485,4232532,15185,358.7686992
Papua New Guinea,PNG,Oceania,2019,6727,1274,10171,9542486,66942,701.5153074
Paraguay,PRY,South America,2019,6565,817,5755,6530026,32784,502.0500684
Peru,PER,South America,2019,19059,2712,13289,32824861,95593,291.2213398
Philippines,PHL,Asia,2019,127060,28264,84253,110380804,661704,599.4737998
Poland,POL,Europe,2019,90656,21621,62956,37965475,460603,1213.215428
Portugal,PRT,Europe,2019,19637,1399,17739,10286263,85563,831.8181248
Puerto Rico,PRI,North America,2019,5976,505,7146,3193694,28480,891.7573193
Qatar,QAT,Asia,2019,726,31,842,2807235,4788,170.559287
Romania,ROU,Europe,2019,94376,27797,27140,19371648,324945,1677.425689
Rwanda,RWA,Africa,2019,7159,1271,4579,12835028,51184,398.7837035
Samoa,WSM,Oceania,2019,317,20,341,211905,1861,878.2237323
San Marino,SMR,Europe,2019,52,4,32,34178,215,629.059629
Sao Tome and Principe,STP,Africa,2019,198,16,95,214599,883,411.4651047
Saudi Arabia,SAU,Asia,2019,28995,1165,19543,35827362,154143,430.2382073
Senegal,SEN,Africa,2019,11500,983,7931,16000781,67119,419.4732745
Serbia,SRB,Europe,2019,39546,11687,25625,6945235,168706,2429.089872
Seychelles,SYC,Africa,2019,178,30,121,97625,740,758.0025608
Sierra Leone,SLE,Africa,2019,6471,530,2495,8046828,41403,514.5257237
Singapore,SGP,Asia,2019,3475,870,2350,5703569,16423,287.9425146
Slovenia,SVN,Europe,2019,4586,1397,2020,2088385,18849,902.5634641
Solomon Islands,SLB,Oceania,2019,951,176,1192,674993,8419,1247.272194
Somalia,SOM,Africa,2019,11498,1917,6693,15981300,109541,685.4323491
South Africa,ZAF,Africa,2019,61473,3290,54459,58087055,346018,595.6886608
South Sudan,SSD,Africa,2019,4697,751,2689,10447666,39825,381.185616
Spain,ESP,Europe,2019,72106,2913,54535,47134837,319980,678.8609452
Sri Lanka,LKA,Asia,2019,29938,6051,31714,21803000,147936,678.5121314
Sudan,SDN,Africa,2019,50501,1730,26177,43232093,220694,510.4865036
Suriname,SUR,South America,2019,829,74,845,600301,4240,706.3123333
Sweden,SWE,Europe,2019,19501,1495,11975,10278887,73216,712.2950179
Switzerland,CHE,Europe,2019,12571,978,7841,8575280,53783,627.1865175
Tajikistan,TJK,Asia,2019,13064,1649,8016,9337003,58568,627.2676575
Tanzania,TZA,Africa,2019,38944,8061,18757,59872579,243035,405.9203797
Thailand,THA,Asia,2019,69032,14894,65179,71307763,430315,603.4616455
